Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Anderlecht,29,24.7,53.1,28,308,2520,28.0,38,25,63,32,6,6,71,3,1.36,0.89,2.25,1.14,2.04
Antwerp,32,25.0,47.7,28,308,2520,28.0,30,18,48,25,5,7,55,3,1.07,0.64,1.71,0.89,1.54
Cercle Brugge,28,24.6,47.1,28,308,2520,28.0,34,21,55,26,8,10,57,4,1.21,0.75,1.96,0.93,1.68
Charleroi,32,25.1,48.7,28,308,2520,28.0,38,25,63,35,3,4,60,4,1.36,0.89,2.25,1.25,2.14
Club Brugge,29,25.0,63.3,28,308,2520,28.0,51,41,92,50,1,2,38,2,1.82,1.46,3.29,1.79,3.25
Dender,29,25.6,47.2,28,308,2520,28.0,23,15,38,20,3,3,59,4,0.82,0.54,1.36,0.71,1.25
Genk,25,25.3,61.3,28,308,2520,28.0,40,33,73,38,2,2,40,1,1.43,1.18,2.61,1.36,2.54
Gent,31,25.8,51.0,28,308,2520,28.0,44,36,80,40,4,5,44,4,1.57,1.29,2.86,1.43,2.71
La Louvière,27,25.5,37.2,28,308,2520,28.0,19,12,31,19,0,0,53,2,0.68,0.43,1.11,0.68,1.11
Mechelen,30,25.1,50.0,28,308,2520,28.0,36,27,63,34,2,2,65,0,1.29,0.96,2.25,1.21,2.18
OH Leuven,27,26.9,45.3,28,308,2520,28.0,28,18,46,25,3,4,88,1,1.0,0.64,1.64,0.89,1.54
Sint-Truiden,24,26.2,54.5,28,308,2520,28.0,44,32,76,37,7,8,49,2,1.57,1.14,2.71,1.32,2.46
Standard Liège,30,26.5,43.9,28,308,2520,28.0,24,13,37,20,4,4,60,6,0.86,0.46,1.32,0.71,1.18
Union SG,30,25.9,53.8,28,308,2520,28.0,44,34,78,42,2,4,69,1,1.57,1.21,2.79,1.5,2.71
Westerlo,30,23.7,48.6,28,308,2520,28.0,34,22,56,30,4,5,48,3,1.21,0.79,2.0,1.07,1.86
Zulte Waregem,25,24.6,47.9,28,308,2520,28.0,37,22,59,32,5,5,43,3,1.32,0.79,2.11,1.14,1.93
