Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Augsburg,29,26.3,45.8,25,275,2250,25.0,31,20,51,28,3,4,67,1,1.24,0.8,2.04,1.12,1.92
Bayern Munich,28,28.2,66.8,25,275,2250,25.0,89,69,158,78,11,11,42,0,3.56,2.76,6.32,3.12,5.88
Dortmund,25,27.1,53.0,25,275,2250,25.0,52,40,92,48,4,6,46,2,2.08,1.6,3.68,1.92,3.52
Eintracht Frankfurt,28,25.5,53.6,25,275,2250,25.0,48,34,82,44,4,4,46,2,1.92,1.36,3.28,1.76,3.12
Freiburg,24,27.4,47.7,25,275,2250,25.0,35,19,54,30,5,6,40,3,1.4,0.76,2.16,1.2,1.96
Gladbach,28,26.7,45.9,25,275,2250,25.0,26,18,44,22,4,7,35,2,1.04,0.72,1.76,0.88,1.6
Hamburger SV,28,26.6,46.9,25,275,2250,25.0,28,20,48,25,3,5,60,6,1.12,0.8,1.92,1.0,1.8
Heidenheim,30,27.3,42.5,25,275,2250,25.0,24,15,39,23,1,1,37,1,0.96,0.6,1.56,0.92,1.52
Hoffenheim,26,27.3,54.2,25,275,2250,25.0,49,36,85,45,4,4,49,2,1.96,1.44,3.4,1.8,3.24
Köln,27,25.8,46.7,25,275,2250,25.0,33,23,56,32,1,1,39,2,1.32,0.92,2.24,1.28,2.2
Leverkusen,28,27.0,59.9,25,275,2250,25.0,47,34,81,43,4,4,55,2,1.88,1.36,3.24,1.72,3.08
Mainz 05,30,29.2,44.1,25,275,2250,25.0,29,17,46,22,7,8,58,5,1.16,0.68,1.84,0.88,1.56
RB Leipzig,29,25.9,54.2,25,275,2250,25.0,46,36,82,45,1,3,36,0,1.84,1.44,3.28,1.8,3.24
St Pauli,23,28.0,44.1,25,275,2250,25.0,23,16,39,19,4,5,38,1,0.92,0.64,1.56,0.76,1.4
Stuttgart,26,26.0,58.6,25,275,2250,25.0,49,39,88,45,4,5,49,1,1.96,1.56,3.52,1.8,3.36
Union Berlin,23,27.8,38.6,25,275,2250,25.0,30,17,47,27,3,5,57,3,1.2,0.68,1.88,1.08,1.76
Werder Bremen,25,25.6,52.0,25,275,2250,25.0,28,22,50,26,2,3,63,3,1.12,0.88,2.0,1.04,1.92
Wolfsburg,30,26.1,46.3,25,275,2250,25.0,34,28,62,31,3,3,50,2,1.36,1.12,2.48,1.24,2.36
