Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Birmingham City,32,26.7,45.7,37,407,3330,37.0,44,30,74,43,1,1,68,3,1.19,0.81,2.0,1.16,1.97
vs Blackburn Rovers,36,26.9,49.8,37,407,3330,37.0,45,30,75,42,3,3,61,2,1.22,0.81,2.03,1.14,1.95
vs Bristol City,30,26.7,50.4,37,407,3330,37.0,46,31,77,44,2,2,72,1,1.24,0.84,2.08,1.19,2.03
vs Charlton Athletic,32,26.6,57.2,37,407,3330,37.0,42,30,72,40,2,4,50,5,1.14,0.81,1.95,1.08,1.89
vs Coventry City,27,26.7,45.7,37,407,3330,37.0,37,26,63,35,2,2,82,6,1.0,0.7,1.7,0.95,1.65
vs Derby County,34,26.6,56.2,37,407,3330,37.0,45,30,75,41,4,4,64,1,1.22,0.81,2.03,1.11,1.92
vs Hull City,32,26.7,54.4,37,407,3330,37.0,52,35,87,51,1,3,63,4,1.41,0.95,2.35,1.38,2.32
vs Ipswich Town,29,26.7,43.6,36,396,3240,36.0,37,18,55,33,4,5,94,2,1.03,0.5,1.53,0.92,1.42
vs Leicester City,32,26.8,49.0,37,407,3330,37.0,56,42,98,55,1,3,61,2,1.51,1.14,2.65,1.49,2.62
vs Middlesbrough,33,26.5,40.8,37,407,3330,37.0,35,26,61,31,4,5,80,4,0.95,0.7,1.65,0.84,1.54
vs Millwall,32,26.6,53.1,37,407,3330,37.0,39,21,60,38,1,1,71,2,1.05,0.57,1.62,1.03,1.59
vs Norwich City,35,26.7,47.6,36,396,3240,36.0,45,31,76,45,0,2,62,1,1.25,0.86,2.11,1.25,2.11
vs Oxford United,35,26.6,59.9,37,407,3330,37.0,46,31,77,45,1,1,63,2,1.24,0.84,2.08,1.22,2.05
vs Portsmouth,37,26.7,48.6,36,396,3240,36.0,45,37,82,44,1,2,71,1,1.25,1.03,2.28,1.22,2.25
vs Preston North End,30,26.7,54.5,37,407,3330,37.0,43,34,77,41,2,3,54,0,1.16,0.92,2.08,1.11,2.03
vs QPR,30,26.7,54.3,37,407,3330,37.0,58,44,102,56,2,3,67,2,1.57,1.19,2.76,1.51,2.7
vs Sheffield United,34,26.7,48.3,37,407,3330,37.0,48,32,80,45,3,4,76,4,1.3,0.86,2.16,1.22,2.08
vs Sheffield Weds,39,26.8,54.7,37,407,3330,37.0,72,51,123,71,1,2,51,1,1.95,1.38,3.32,1.92,3.3
vs Southampton,36,26.7,42.4,36,396,3240,36.0,46,29,75,45,1,1,75,3,1.28,0.81,2.08,1.25,2.06
vs Stoke City,28,26.8,47.6,37,407,3330,37.0,38,29,67,37,1,1,73,0,1.03,0.78,1.81,1.0,1.78
vs Swansea City,26,26.8,44.8,37,407,3330,37.0,41,28,69,40,1,1,84,2,1.11,0.76,1.86,1.08,1.84
vs Watford,34,26.8,48.6,36,396,3240,36.0,41,26,67,41,0,0,81,0,1.14,0.72,1.86,1.14,1.86
vs West Brom,32,26.8,49.1,37,407,3330,37.0,50,38,88,49,1,2,57,0,1.35,1.03,2.38,1.32,2.35
vs Wrexham,29,26.7,51.9,36,396,3240,36.0,45,33,78,45,0,1,70,1,1.25,0.92,2.17,1.25,2.17
