Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Ajax,33,25.7,42.7,26,286,2340,26.0,32,19,51,28,4,4,43,4,1.23,0.73,1.96,1.08,1.81
vs AZ Alkmaar,31,25.7,47.5,26,286,2340,26.0,41,33,74,39,2,3,40,2,1.58,1.27,2.85,1.5,2.77
vs Excelsior,30,25.8,53.7,26,286,2340,26.0,44,31,75,40,4,5,35,2,1.69,1.19,2.88,1.54,2.73
vs Feyenoord,33,25.8,45.5,26,286,2340,26.0,38,29,67,35,3,3,34,6,1.46,1.12,2.58,1.35,2.46
vs Fortuna Sittard,29,25.7,54.6,26,286,2340,26.0,46,35,81,45,1,2,36,2,1.77,1.35,3.12,1.73,3.08
vs Go Ahead Eagles,28,26.1,50.1,26,286,2340,26.0,40,26,66,37,3,3,43,2,1.54,1.0,2.54,1.42,2.42
vs Groningen,24,25.9,49.2,26,286,2340,26.0,35,26,61,33,2,2,44,3,1.35,1.0,2.35,1.27,2.27
vs Heerenveen,28,26.0,49.2,26,286,2340,26.0,43,30,73,41,2,2,36,2,1.65,1.15,2.81,1.58,2.73
vs Heracles Almelo,30,26.2,56.5,26,286,2340,26.0,65,43,108,58,7,8,46,4,2.5,1.65,4.15,2.23,3.88
vs NAC Breda,29,25.7,51.7,26,286,2340,26.0,41,30,71,38,3,3,54,0,1.58,1.15,2.73,1.46,2.62
vs NEC Nijmegen,31,25.9,42.2,26,286,2340,26.0,43,34,77,39,4,5,55,2,1.65,1.31,2.96,1.5,2.81
vs PSV,26,25.9,38.7,26,286,2340,26.0,31,21,52,29,2,3,43,2,1.19,0.81,2.0,1.12,1.92
vs Sparta Rotterdam,29,25.8,52.6,26,286,2340,26.0,42,31,73,41,1,3,55,1,1.62,1.19,2.81,1.58,2.77
vs Telstar,28,25.9,55.8,26,286,2340,26.0,41,31,72,38,3,4,45,1,1.58,1.19,2.77,1.46,2.65
vs Twente,26,25.8,45.5,26,286,2340,26.0,25,20,45,24,1,2,48,4,0.96,0.77,1.73,0.92,1.69
vs Utrecht,30,25.6,52.4,26,286,2340,26.0,31,26,57,30,1,3,51,2,1.19,1.0,2.19,1.15,2.15
vs Volendam,31,25.8,55.6,26,286,2340,26.0,43,32,75,41,2,2,51,4,1.65,1.23,2.88,1.58,2.81
vs Zwolle,28,25.9,55.7,26,286,2340,26.0,51,41,92,48,3,3,39,1,1.96,1.58,3.54,1.85,3.42
