Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Albirex Niigata,36,27.6,45.8,38,418,3420,38.0,65,44,109,61,4,4,30,0,1.71,1.16,2.87,1.61,2.76
vs Avispa Fukuoka,31,27.7,53.5,38,418,3420,38.0,37,24,61,32,5,6,53,3,0.97,0.63,1.61,0.84,1.47
vs Cerezo Osaka,29,27.7,44.7,38,418,3420,38.0,57,44,101,55,2,2,50,1,1.5,1.16,2.66,1.45,2.61
vs Fagiano Okayama,33,27.9,58.0,38,418,3420,38.0,42,34,76,42,0,2,37,0,1.11,0.89,2.0,1.11,2.0
vs FC Tokyo,35,28.0,48.8,38,418,3420,38.0,48,31,79,44,4,5,44,1,1.26,0.82,2.08,1.16,1.97
vs Gamba Osaka,29,27.9,47.1,38,418,3420,38.0,54,39,93,52,2,4,41,2,1.42,1.03,2.45,1.37,2.39
vs Grampus,30,27.5,52.7,38,418,3420,38.0,54,41,95,54,0,0,51,0,1.42,1.08,2.5,1.42,2.5
vs Kashima Antlers,27,27.9,48.0,38,418,3420,38.0,31,24,55,30,1,3,69,0,0.82,0.63,1.45,0.79,1.42
vs Kashiwa Reysol,32,27.9,39.8,38,418,3420,38.0,32,20,52,29,3,4,42,1,0.84,0.53,1.37,0.76,1.29
vs Kawasaki Frontale,35,27.8,49.1,38,418,3420,38.0,57,45,102,54,3,4,59,3,1.5,1.18,2.68,1.42,2.61
vs Kyoto Sanga,30,27.9,51.8,38,418,3420,38.0,40,28,68,38,2,4,49,1,1.05,0.74,1.79,1.0,1.74
vs Machida Zelvia,25,28.1,55.3,38,418,3420,38.0,34,25,59,29,5,6,29,0,0.89,0.66,1.55,0.76,1.42
vs Sanfrecce Hiroshima,28,27.8,47.3,38,418,3420,38.0,25,14,39,21,4,4,54,2,0.66,0.37,1.03,0.55,0.92
vs Shimizu S-Pulse,35,27.8,48.8,38,418,3420,38.0,51,39,90,48,3,4,58,3,1.34,1.03,2.37,1.26,2.29
vs Shonan Bellmare,35,28.0,50.1,38,418,3420,38.0,62,37,99,55,7,10,43,2,1.63,0.97,2.61,1.45,2.42
vs Tokyo Verdy,30,28.0,53.2,38,418,3420,38.0,40,27,67,38,2,3,41,2,1.05,0.71,1.76,1.0,1.71
vs Urawa Reds,33,27.8,48.2,38,418,3420,38.0,38,28,66,35,3,4,37,2,1.0,0.74,1.74,0.92,1.66
vs Vissel Kobe,30,27.7,46.6,38,418,3420,38.0,32,28,60,30,2,2,56,4,0.84,0.74,1.58,0.79,1.53
vs Yokohama F. Marinos,35,27.8,51.6,38,418,3420,38.0,46,29,75,42,4,4,50,2,1.21,0.76,1.97,1.11,1.87
vs Yokohama FC,34,27.8,58.9,38,418,3420,38.0,43,23,66,37,6,7,37,0,1.13,0.61,1.74,0.97,1.58
