Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Alavés,25,28.0,50.7,27,297,2430,27.0,24,13,37,19,5,5,65,5,0.89,0.48,1.37,0.7,1.19
Athletic Club,27,28.0,48.8,27,297,2430,27.0,29,18,47,24,5,6,63,6,1.07,0.67,1.74,0.89,1.56
Atlético Madrid,28,28.1,55.1,27,297,2430,27.0,42,28,70,40,2,3,48,2,1.56,1.04,2.59,1.48,2.52
Barcelona,27,25.3,69.4,27,297,2430,27.0,71,55,126,67,4,7,40,2,2.63,2.04,4.67,2.48,4.52
Celta Vigo,29,26.8,50.5,27,297,2430,27.0,36,22,58,29,7,7,50,1,1.33,0.81,2.15,1.07,1.89
Elche,32,27.2,59.1,27,297,2430,27.0,34,24,58,32,2,3,55,3,1.26,0.89,2.15,1.19,2.07
Espanyol,23,28.1,42.7,27,297,2430,27.0,33,22,55,30,3,4,59,3,1.22,0.81,2.04,1.11,1.93
Getafe,32,29.3,40.2,27,297,2430,27.0,23,19,42,21,2,3,72,5,0.85,0.7,1.56,0.78,1.48
Girona,32,27.9,49.8,27,297,2430,27.0,28,20,48,22,6,7,62,7,1.04,0.74,1.78,0.81,1.56
Levante,30,26.7,41.8,27,297,2430,27.0,29,17,46,27,2,3,58,4,1.07,0.63,1.7,1.0,1.63
Mallorca,26,28.5,44.1,27,297,2430,27.0,31,20,51,26,5,6,61,4,1.15,0.74,1.89,0.96,1.7
Osasuna,23,28.7,45.0,27,297,2430,27.0,31,23,54,27,4,5,66,5,1.15,0.85,2.0,1.0,1.85
Oviedo,30,28.7,44.0,27,297,2430,27.0,17,12,29,16,1,2,59,8,0.63,0.44,1.07,0.59,1.04
Rayo Vallecano,26,29.5,53.9,27,297,2430,27.0,27,18,45,24,3,4,72,7,1.0,0.67,1.67,0.89,1.56
Real Betis,28,28.4,49.9,27,297,2430,27.0,41,28,69,39,2,2,53,1,1.52,1.04,2.56,1.44,2.48
Real Madrid,30,25.9,59.9,27,297,2430,27.0,56,41,97,45,11,13,51,5,2.07,1.52,3.59,1.67,3.19
Real Sociedad,32,26.6,49.7,27,297,2430,27.0,40,25,65,35,5,5,54,3,1.48,0.93,2.41,1.3,2.22
Sevilla,33,27.8,53.7,27,297,2430,27.0,33,23,56,29,4,5,79,4,1.22,0.85,2.07,1.07,1.93
Valencia,26,27.6,49.3,27,297,2430,27.0,30,21,51,25,5,8,54,2,1.11,0.78,1.89,0.93,1.7
Villarreal,29,26.8,43.6,27,297,2430,27.0,49,33,82,46,3,3,62,3,1.81,1.22,3.04,1.7,2.93
