Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches
1,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,20-059,2006,17,3,513,5.7,2,0,2,2,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches
2,Tay Abed,il ISR,MF,Levante,22-004,2004,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Abdel Abqar,ma MAR,DF,Getafe,27-002,1999,15,11,949,10.5,0,2,2,0,0,0,7,0,0.00,0.19,0.19,0.00,0.19,Matches
4,Akor Adams,ng NGA,FW,Sevilla,26-042,2000,22,15,1474,16.4,7,3,10,5,2,2,1,0,0.43,0.18,0.61,0.31,0.49,Matches
5,David Affengruber,at AUT,DF,Elche,24-358,2001,25,22,2009,22.3,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
6,Julen Agirrezabala,es ESP,GK,Valencia,25-076,2000,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Lucien Agoume,fr FRA,MF,Sevilla,24-031,2002,24,22,1935,21.5,1,2,3,1,0,0,9,0,0.05,0.09,0.14,0.05,0.14,Matches
8,Marc Aguado,es ESP,MF,Elche,26-018,2000,26,22,1828,20.3,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches
9,Pablo Agudín,es ESP,MF,Oviedo,18-124,2007,4,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Lucas Ahijado,es ESP,DF,Oviedo,31-041,1995,15,10,972,10.8,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
11,Joseph Aidoo,gh GHA,DF,Celta Vigo,30-164,1995,5,4,378,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Ilias Akhomach,ma MAR,MF,Rayo Vallecano,21-330,2004,7,5,475,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Ilias Akhomach,ma MAR,MF,Villarreal,21-330,2004,9,2,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,David Alaba,at AUT,DF,Real Madrid,33-261,1992,8,3,247,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Alexandre Alemão,br BRA,FW,Rayo Vallecano,27-345,1998,16,6,644,7.2,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
16,Carles Aleñá,es ESP,MF,Alavés,28-066,1998,27,20,1687,18.7,0,4,4,0,0,0,4,0,0.00,0.21,0.21,0.00,0.21,Matches
17,Trent Alexander-Arnold,eng ENG,"DF,MF",Real Madrid,27-156,1998,13,8,637,7.1,0,2,2,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches
18,Alfon,es ESP,FW,Villarreal,26-312,1999,3,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Alfon,es ESP,MF,Sevilla,26-312,1999,10,4,312,3.5,1,0,1,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches
20,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,24-320,2001,19,10,845,9.4,3,1,4,3,0,0,1,0,0.32,0.11,0.43,0.32,0.43,Matches
21,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,25-286,2000,16,9,825,9.2,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
22,Marcos Alonso,es ESP,DF,Celta Vigo,35-074,1990,23,22,1973,21.9,1,0,1,0,1,1,2,0,0.05,0.00,0.05,0.00,0.00,Matches
23,Adrià Altimira,es ESP,DF,Villarreal,24-349,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Sergi Altimira,es ESP,MF,Real Betis,24-199,2001,18,10,914,10.2,1,1,2,1,0,0,2,0,0.10,0.10,0.20,0.10,0.20,Matches
25,Carlos Álvarez,es ESP,MF,Levante,22-218,2003,26,22,1786,19.8,3,1,4,3,0,0,3,0,0.15,0.05,0.20,0.15,0.20,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,22-253,2003,18,8,811,9.0,2,1,3,2,0,0,2,0,0.22,0.11,0.33,0.22,0.33,Matches
27,Julián Álvarez,ar ARG,FW,Atlético Madrid,26-040,2000,27,21,1780,19.8,8,3,11,6,2,3,2,0,0.40,0.15,0.56,0.30,0.46,Matches
28,Sofyan Amrabat,ma MAR,MF,Real Betis,29-203,1996,8,6,603,6.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Manuel Ángel,es ESP,MF,Real Madrid,21-362,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Miguel Ángel Rubio,es ESP,DF,Espanyol,28-001,1998,9,1,158,1.8,1,0,1,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches
31,Miguel Ángel Sierra,es ESP,FW,Sevilla,21-241,2004,4,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Andrés Antañón,,MF,Celta Vigo,,,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Antoniu,es ESP,MF,Espanyol,23-188,2002,8,1,115,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Antony,br BRA,"MF,FW",Real Betis,26-016,2000,22,21,1795,19.9,7,5,12,7,0,0,3,1,0.35,0.25,0.60,0.35,0.60,Matches
35,Mauro Arambarri,uy URU,MF,Getafe,30-163,1995,27,27,2383,26.5,5,2,7,3,2,2,4,0,0.19,0.08,0.26,0.11,0.19,Matches
36,Jon Aramburu,ve VEN,DF,Real Sociedad,23-232,2002,25,23,2051,22.8,1,0,1,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Matches
37,Juan Arango,ve VEN,MF,Girona,19-284,2006,2,0,18,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Ronald Araújo,uy URU,DF,Barcelona,27-005,1999,16,7,714,7.9,2,0,2,2,0,0,2,0,0.25,0.00,0.25,0.25,0.25,Matches
39,Jesús Areso,es ESP,DF,Athletic Club,26-253,1999,22,13,1346,15.0,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
40,Iñigo Arguibide,es ESP,DF,Osasuna,20-327,2005,6,2,187,2.1,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
41,Kervin Arriaga,hn HON,MF,Levante,28-066,1998,18,12,1134,12.6,1,1,2,1,0,0,6,1,0.08,0.08,0.16,0.08,0.16,Matches
42,Takuma Asano,jp JPN,"MF,FW",Mallorca,31-122,1994,15,6,483,5.4,1,0,1,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches
43,Raúl Asencio,es ESP,DF,Real Madrid,23-027,2003,19,14,1348,15.0,2,0,2,2,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches
