Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
América,30,28.2,56.9,27,297,2430,27.0,42,27,69,38,4,6,52,3,1.56,1.0,2.56,1.41,2.41
Atlas,31,28.9,44.2,27,297,2430,27.0,37,23,60,27,10,10,65,5,1.37,0.85,2.22,1.0,1.85
Atlético San Luis,34,27.3,47.8,27,297,2430,27.0,40,28,68,34,6,6,56,6,1.48,1.04,2.52,1.26,2.3
Cruz Azul,29,28.0,54.9,27,297,2430,27.0,51,37,88,47,4,6,60,6,1.89,1.37,3.26,1.74,3.11
FC Juárez,28,27.7,49.6,26,286,2340,26.0,37,24,61,32,5,5,62,1,1.42,0.92,2.35,1.23,2.15
Guadalajara,30,26.1,55.3,26,286,2340,26.0,42,31,73,39,3,6,57,3,1.62,1.19,2.81,1.5,2.69
León,35,28.3,51.7,26,286,2340,26.0,24,14,38,18,6,7,62,3,0.92,0.54,1.46,0.69,1.23
Mazatlán,37,27.0,42.6,27,297,2430,27.0,33,20,53,31,2,4,69,4,1.22,0.74,1.96,1.15,1.89
Monterrey,32,30.1,57.5,27,297,2430,27.0,47,31,78,42,5,9,45,3,1.74,1.15,2.89,1.56,2.7
Necaxa,33,27.6,49.7,27,297,2430,27.0,32,20,52,30,2,2,69,5,1.19,0.74,1.93,1.11,1.85
Pachuca,33,28.0,50.9,27,297,2430,27.0,32,22,54,29,3,4,73,8,1.19,0.81,2.0,1.07,1.89
Puebla,37,25.8,47.9,27,297,2430,27.0,30,22,52,29,1,2,62,4,1.11,0.81,1.93,1.07,1.89
Querétaro,41,28.6,36.5,26,286,2340,26.0,26,13,39,21,5,7,73,7,1.0,0.5,1.5,0.81,1.31
Santos Laguna,32,27.6,44.6,27,297,2430,27.0,34,23,57,30,4,7,76,9,1.26,0.85,2.11,1.11,1.96
Tijuana,30,27.2,47.4,27,297,2430,27.0,35,22,57,29,6,8,68,3,1.3,0.81,2.11,1.07,1.89
Toluca,33,28.1,55.7,27,297,2430,27.0,58,48,106,52,6,7,62,2,2.15,1.78,3.93,1.93,3.7
UANL,28,29.5,56.4,27,297,2430,27.0,50,34,84,46,4,6,70,6,1.85,1.26,3.11,1.7,2.96
UNAM,32,27.5,50.9,27,297,2430,27.0,42,28,70,35,7,10,70,3,1.56,1.04,2.59,1.3,2.33
