Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Angers,28,26.4,42.9,25,275,2250,25.0,22,12,34,20,2,2,37,1,0.88,0.48,1.36,0.8,1.28
Auxerre,30,25.5,43.8,25,275,2250,25.0,15,10,25,12,3,5,55,6,0.6,0.4,1.0,0.48,0.88
Brest,26,27.3,42.3,25,275,2250,25.0,33,22,55,27,6,8,44,5,1.32,0.88,2.2,1.08,1.96
Le Havre,30,27.5,46.7,25,275,2250,25.0,20,15,35,19,1,4,46,2,0.8,0.6,1.4,0.76,1.36
Lens,27,27.3,49.2,25,275,2250,25.0,47,35,82,43,4,5,48,4,1.88,1.4,3.28,1.72,3.12
Lille,30,27.2,55.9,25,275,2250,25.0,38,26,64,34,4,5,53,5,1.52,1.04,2.56,1.36,2.4
Lorient,25,26.1,45.4,25,275,2250,25.0,34,23,57,32,2,5,42,1,1.36,0.92,2.28,1.28,2.2
Lyon,30,26.9,54.8,25,275,2250,25.0,39,30,69,37,2,4,49,6,1.56,1.2,2.76,1.48,2.68
Marseille,34,28.2,57.7,25,275,2250,25.0,51,39,90,46,5,7,57,4,2.04,1.56,3.6,1.84,3.4
Metz,32,26.7,49.0,25,275,2250,25.0,21,13,34,17,4,5,42,4,0.84,0.52,1.36,0.68,1.2
Monaco,31,26.2,52.6,25,275,2250,25.0,41,30,71,37,4,5,59,6,1.64,1.2,2.84,1.48,2.68
Nantes,33,26.5,43.3,25,275,2250,25.0,21,11,32,19,2,4,51,1,0.84,0.44,1.28,0.76,1.2
Nice,34,26.3,47.8,25,275,2250,25.0,28,22,50,26,2,2,56,2,1.12,0.88,2.0,1.04,1.92
Paris FC,31,28.1,52.6,25,275,2250,25.0,29,17,46,24,5,5,55,3,1.16,0.68,1.84,0.96,1.64
Paris Saint-Germain,25,24.2,68.6,25,275,2250,25.0,53,41,94,50,3,5,24,1,2.12,1.64,3.76,2.0,3.64
Rennes,33,26.7,52.3,25,275,2250,25.0,41,32,73,39,2,3,43,4,1.64,1.28,2.92,1.56,2.84
Strasbourg,30,22.2,52.7,25,275,2250,25.0,40,29,69,35,5,6,49,5,1.6,1.16,2.76,1.4,2.56
Toulouse,24,24.8,43.2,25,275,2250,25.0,32,20,52,28,4,7,57,2,1.28,0.8,2.08,1.12,1.92
