Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Atlanta Utd,18,27.4,54.0,3,33,270,3.0,2,2,4,2,0,0,7,0,0.67,0.67,1.33,0.67,1.33
Austin FC,18,29.2,46.7,3,33,270,3.0,3,2,5,3,0,0,5,1,1.00,0.67,1.67,1.00,1.67
CF Montréal,21,24.4,40.0,3,33,270,3.0,3,0,3,2,1,1,4,1,1.00,0.00,1.00,0.67,0.67
Charlotte,19,30.2,52.7,3,33,270,3.0,4,3,7,4,0,0,8,0,1.33,1.00,2.33,1.33,2.33
Chicago Fire,21,26.9,50.7,3,33,270,3.0,4,0,4,3,1,1,7,1,1.33,0.00,1.33,1.00,1.00
Colorado Rapids,20,24.1,54.7,3,33,270,3.0,6,5,11,6,0,0,6,0,2.00,1.67,3.67,2.00,3.67
Columbus Crew,17,27.2,54.0,3,33,270,3.0,4,2,6,4,0,1,5,0,1.33,0.67,2.00,1.33,2.00
D.C. United,18,27.2,43.0,3,33,270,3.0,2,1,3,2,0,0,6,0,0.67,0.33,1.00,0.67,1.00
FC Cincinnati,19,26.5,55.3,3,33,270,3.0,2,2,4,2,0,0,3,0,0.67,0.67,1.33,0.67,1.33
FC Dallas,18,26.9,44.3,3,33,270,3.0,3,2,5,3,0,0,6,0,1.00,0.67,1.67,1.00,1.67
Houston Dynamo,18,28.9,36.0,2,22,180,2.0,2,1,3,2,0,0,4,2,1.00,0.50,1.50,1.00,1.50
Inter Miami,15,27.3,65.0,3,33,270,3.0,6,4,10,6,0,0,6,0,2.00,1.33,3.33,2.00,3.33
LA Galaxy,20,27.8,48.3,3,33,270,3.0,5,3,8,5,0,0,8,2,1.67,1.00,2.67,1.67,2.67
LAFC,17,29.8,54.7,3,33,270,3.0,6,6,12,6,0,0,6,0,2.00,2.00,4.00,2.00,4.00
Minnesota Utd,19,27.4,43.3,3,33,270,3.0,4,3,7,4,0,0,4,0,1.33,1.00,2.33,1.33,2.33
Nashville SC,19,28.0,54.7,3,33,270,3.0,7,3,10,7,0,0,4,1,2.33,1.00,3.33,2.33,3.33
NE Revolution,20,26.6,40.0,2,22,180,2.0,1,1,2,1,0,0,5,0,0.50,0.50,1.00,0.50,1.00
NY Red Bulls,20,23.9,61.3,3,33,270,3.0,3,3,6,3,0,0,5,0,1.00,1.00,2.00,1.00,2.00
NYCFC,18,27.3,63.0,3,33,270,3.0,8,4,12,6,2,2,5,0,2.67,1.33,4.00,2.00,3.33
Orlando City,20,25.5,38.7,3,33,270,3.0,3,3,6,3,0,0,7,2,1.00,1.00,2.00,1.00,2.00
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Philadelphia Union,21,25.3,49.7,3,33,270,3.0,1,0,1,0,1,1,10,2,0.33,0.00,0.33,0.00,0.00
Portland Timbers,18,26.7,45.7,3,33,270,3.0,4,4,8,4,0,0,6,1,1.33,1.33,2.67,1.33,2.67
Real Salt Lake,20,25.4,39.3,3,33,270,3.0,5,4,9,5,0,0,9,0,1.67,1.33,3.00,1.67,3.00
San Diego FC,19,26.4,67.0,3,33,270,3.0,8,7,15,8,0,0,5,0,2.67,2.33,5.00,2.67,5.00
Seattle Sounders,19,28.0,47.3,3,33,270,3.0,4,3,7,4,0,0,6,0,1.33,1.00,2.33,1.33,2.33
SJ Earthquakes,18,26.1,46.7,3,33,270,3.0,6,5,11,6,0,0,4,0,2.00,1.67,3.67,2.00,3.67
Sporting KC,17,24.5,43.7,3,33,270,3.0,2,1,3,2,0,0,4,0,0.67,0.33,1.00,0.67,1.00
St. Louis City,18,26.9,49.7,3,33,270,3.0,1,1,2,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67
Toronto FC,19,28.1,46.0,3,33,270,3.0,3,2,5,3,0,0,4,0,1.00,0.67,1.67,1.00,1.67
Vancouver W'caps,19,27.0,58.0,3,33,270,3.0,8,4,12,7,1,1,6,0,2.67,1.33,4.00,2.33,3.67
