Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Arsenal,24,26.7,43.3,30,330,2700,30.0,21,12,33,21,0,0,58,2,0.7,0.4,1.1,0.7,1.1
vs Aston Villa,30,26.6,46.3,29,319,2610,29.0,33,21,54,32,1,2,71,2,1.14,0.72,1.86,1.1,1.83
vs Bournemouth,26,26.9,50.2,29,319,2610,29.0,45,30,75,41,4,4,55,2,1.55,1.03,2.59,1.41,2.45
vs Brentford,24,26.9,52.8,29,319,2610,29.0,37,22,59,33,4,7,51,1,1.28,0.76,2.03,1.14,1.9
vs Brighton,28,26.9,47.2,29,319,2610,29.0,32,22,54,27,5,6,58,1,1.1,0.76,1.86,0.93,1.69
vs Burnley,26,26.6,58.5,29,319,2610,29.0,54,34,88,49,5,6,36,1,1.86,1.17,3.03,1.69,2.86
vs Chelsea,26,27.1,41.3,29,319,2610,29.0,34,25,59,33,1,1,67,3,1.17,0.86,2.03,1.14,2.0
vs Crystal Palace,28,26.9,54.6,29,319,2610,29.0,34,18,52,30,4,5,56,3,1.17,0.62,1.79,1.03,1.66
vs Everton,22,26.8,55.8,29,319,2610,29.0,32,29,61,30,2,3,52,0,1.1,1.0,2.1,1.03,2.03
vs Fulham,24,26.7,48.3,29,319,2610,29.0,40,29,69,37,3,4,52,2,1.38,1.0,2.38,1.28,2.28
vs Leeds United,24,26.7,54.5,29,319,2610,29.0,47,31,78,41,6,6,52,0,1.62,1.07,2.69,1.41,2.48
vs Liverpool,23,26.8,39.7,29,319,2610,29.0,39,26,65,36,3,4,59,5,1.34,0.9,2.24,1.24,2.14
vs Manchester City,27,26.9,40.2,29,319,2610,29.0,27,16,43,26,1,2,59,2,0.93,0.55,1.48,0.9,1.45
vs Manchester Utd,27,26.8,46.4,29,319,2610,29.0,38,25,63,35,3,3,63,5,1.31,0.86,2.17,1.21,2.07
vs Newcastle United,25,26.8,47.0,29,319,2610,29.0,41,26,67,37,4,4,67,2,1.41,0.9,2.31,1.28,2.17
vs Nottingham Forest,31,26.9,52.2,29,319,2610,29.0,41,29,70,36,5,5,52,1,1.41,1.0,2.41,1.24,2.24
vs Sunderland,29,27.0,56.4,29,319,2610,29.0,33,25,58,31,2,3,51,1,1.14,0.86,2.0,1.07,1.93
vs Tottenham Hotspur,27,27.0,49.9,29,319,2610,29.0,46,33,79,44,2,2,52,1,1.59,1.14,2.72,1.52,2.66
vs West Ham United,32,26.7,57.2,29,319,2610,29.0,52,34,86,47,5,6,56,0,1.79,1.17,2.97,1.62,2.79
vs Wolves,29,26.8,57.1,30,330,2700,30.0,48,38,86,45,3,3,47,2,1.6,1.27,2.87,1.5,2.77
