Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Alverca,32,24.2,44.6,25,275,2250,25.0,23,15,38,18,5,8,61,4,0.92,0.6,1.52,0.72,1.32
Arouca,30,26.0,50.5,25,275,2250,25.0,30,20,50,30,0,0,67,8,1.2,0.8,2.0,1.2,2.0
AVS Futebol,32,27.0,40.5,25,275,2250,25.0,18,12,30,16,2,4,56,4,0.72,0.48,1.2,0.64,1.12
Benfica,35,26.2,59.1,25,275,2250,25.0,51,26,77,41,10,10,52,2,2.04,1.04,3.08,1.64,2.68
Braga,27,26.4,63.2,25,275,2250,25.0,49,26,75,36,13,14,50,2,1.96,1.04,3.0,1.44,2.48
Casa Pia,32,28.2,42.7,25,275,2250,25.0,25,17,42,23,2,4,76,2,1.0,0.68,1.68,0.92,1.6
Estoril,26,26.9,52.7,25,275,2250,25.0,42,33,75,37,5,5,65,0,1.68,1.32,3.0,1.48,2.8
Estrela,37,25.9,48.2,25,275,2250,25.0,28,19,47,24,4,5,63,4,1.12,0.76,1.88,0.96,1.72
Famalicão,24,24.6,51.3,25,275,2250,25.0,29,20,49,29,0,0,64,2,1.16,0.8,1.96,1.16,1.96
Gil Vicente FC,27,26.2,49.8,25,275,2250,25.0,37,22,59,31,6,8,60,4,1.48,0.88,2.36,1.24,2.12
Moreirense,28,26.1,49.6,25,275,2250,25.0,31,25,56,30,1,1,68,3,1.24,1.0,2.24,1.2,2.2
Nacional,27,26.7,45.1,25,275,2250,25.0,29,19,48,24,5,6,72,6,1.16,0.76,1.92,0.96,1.72
Porto,30,25.1,55.7,25,275,2250,25.0,48,31,79,41,7,8,58,2,1.92,1.24,3.16,1.64,2.88
Rio Ave,34,25.3,46.6,25,275,2250,25.0,23,17,40,21,2,4,66,4,0.92,0.68,1.6,0.84,1.52
Santa Clara,31,27.5,48.6,25,275,2250,25.0,22,12,34,16,6,6,77,4,0.88,0.48,1.36,0.64,1.12
Sporting CP,31,25.9,60.8,25,275,2250,25.0,62,48,110,58,4,5,58,3,2.48,1.92,4.4,2.32,4.24
Tondela,30,26.3,41.8,25,275,2250,25.0,19,9,28,13,6,10,68,3,0.76,0.36,1.12,0.52,0.88
Vitória Guimarães,31,25.5,50.1,25,275,2250,25.0,27,17,44,24,3,4,61,3,1.08,0.68,1.76,0.96,1.64
