Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Athletico Paranaense,23,28.1,49.3,4,44,360,4.0,3,0,3,3,0,0,15,2,0.75,0.0,0.75,0.75,0.75
vs Atlético Mineiro,21,27.5,50.0,4,44,360,4.0,8,5,13,8,0,0,11,0,2.0,1.25,3.25,2.0,3.25
vs Bahia,22,28.5,59.7,3,33,270,3.0,2,2,4,2,0,0,11,0,0.67,0.67,1.33,0.67,1.33
vs Botafogo (RJ),20,29.5,48.3,3,33,270,3.0,6,2,8,5,1,1,7,1,2.0,0.67,2.67,1.67,2.33
vs Chapecoense,21,27.5,60.7,3,33,270,3.0,6,5,11,6,0,0,4,0,2.0,1.67,3.67,2.0,3.67
vs Corinthians,24,28.2,46.3,4,44,360,4.0,3,1,4,2,1,3,15,2,0.75,0.25,1.0,0.5,0.75
vs Coritiba,23,28.7,62.0,4,44,360,4.0,6,5,11,5,1,1,14,0,1.5,1.25,2.75,1.25,2.5
vs Cruzeiro,21,28.8,46.5,4,44,360,4.0,9,5,14,9,0,0,10,1,2.25,1.25,3.5,2.25,3.5
vs Flamengo,18,29.3,40.0,3,33,270,3.0,4,3,7,4,0,1,6,0,1.33,1.0,2.33,1.33,2.33
vs Fluminense,23,28.4,44.3,4,44,360,4.0,4,2,6,3,1,1,8,1,1.0,0.5,1.5,0.75,1.25
vs Grêmio,24,29.4,50.8,4,44,360,4.0,8,6,14,7,1,2,7,1,2.0,1.5,3.5,1.75,3.25
vs Internacional,22,28.5,43.0,4,44,360,4.0,6,4,10,5,1,1,11,0,1.5,1.0,2.5,1.25,2.25
vs Mirassol,24,28.5,45.0,4,44,360,4.0,7,3,10,5,2,2,7,0,1.75,0.75,2.5,1.25,2.0
vs Palmeiras,23,29.5,54.8,4,44,360,4.0,4,2,6,4,0,0,13,0,1.0,0.5,1.5,1.0,1.5
vs RB Bragantino,22,28.8,50.3,4,44,360,4.0,3,2,5,3,0,0,9,1,0.75,0.5,1.25,0.75,1.25
vs Remo,24,29.6,55.8,4,44,360,4.0,8,7,15,8,0,0,5,0,2.0,1.75,3.75,2.0,3.75
vs Santos,28,28.5,50.6,5,55,450,5.0,10,5,15,8,2,2,8,0,2.0,1.0,3.0,1.6,2.6
vs São Paulo,24,29.5,48.5,4,44,360,4.0,2,1,3,2,0,0,13,2,0.5,0.25,0.75,0.5,0.75
vs Vasco da Gama,24,28.9,39.8,4,44,360,4.0,5,3,8,5,0,0,9,0,1.25,0.75,2.0,1.25,2.0
vs Vitória,23,28.8,58.0,3,33,270,3.0,7,7,14,7,0,0,9,0,2.33,2.33,4.67,2.33,4.67
