Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Albacete,31,26.9,56.4,29,319,2610,29.0,38,26,64,33,5,5,59,4,1.31,0.9,2.21,1.14,2.03
vs Almería,30,26.9,47.0,29,319,2610,29.0,39,24,63,32,7,8,78,3,1.34,0.83,2.17,1.1,1.93
vs Andorra,29,26.6,40.4,29,319,2610,29.0,39,25,64,36,3,4,77,4,1.34,0.86,2.21,1.24,2.1
vs Burgos,26,26.6,52.4,29,319,2610,29.0,25,17,42,25,0,0,79,3,0.86,0.59,1.45,0.86,1.45
vs Cádiz,29,26.9,53.1,29,319,2610,29.0,35,25,60,30,5,5,62,2,1.21,0.86,2.07,1.03,1.9
vs Castellón,29,26.3,44.8,29,319,2610,29.0,33,16,49,28,5,5,77,5,1.14,0.55,1.69,0.97,1.52
vs CD Mirandés,31,26.9,58.4,29,319,2610,29.0,47,29,76,41,6,6,65,7,1.62,1.0,2.62,1.41,2.41
vs Ceuta,33,26.7,49.7,29,319,2610,29.0,43,25,68,36,7,8,62,3,1.48,0.86,2.34,1.24,2.1
vs Córdoba,30,26.7,42.7,29,319,2610,29.0,39,28,67,38,1,2,81,5,1.34,0.97,2.31,1.31,2.28
vs Cultural Leonesa,31,27.0,52.7,29,319,2610,29.0,47,33,80,42,5,6,73,4,1.62,1.14,2.76,1.45,2.59
vs Dep La Coruña,27,26.7,48.6,29,319,2610,29.0,32,24,56,31,1,2,73,5,1.1,0.83,1.93,1.07,1.9
vs Eibar,25,26.7,49.6,29,319,2610,29.0,30,22,52,25,5,5,83,7,1.03,0.76,1.79,0.86,1.62
vs Granada,35,26.8,51.2,29,319,2610,29.0,32,23,55,28,4,5,76,2,1.1,0.79,1.9,0.97,1.76
vs Huesca,32,26.7,53.8,29,319,2610,29.0,36,26,62,33,3,4,65,6,1.24,0.9,2.14,1.14,2.03
vs Las Palmas,32,26.4,43.7,29,319,2610,29.0,20,15,35,20,0,1,87,3,0.69,0.52,1.21,0.69,1.21
vs Leganés,27,26.8,47.8,29,319,2610,29.0,28,20,48,25,3,4,67,2,0.97,0.69,1.66,0.86,1.55
vs Málaga,27,26.7,47.7,29,319,2610,29.0,32,21,53,28,4,4,87,7,1.1,0.72,1.83,0.97,1.69
vs Racing Sant,31,26.8,47.8,29,319,2610,29.0,38,22,60,35,3,3,93,11,1.31,0.76,2.07,1.21,1.97
vs Real Sociedad B,29,26.8,56.9,29,319,2610,29.0,39,24,63,36,3,4,85,2,1.34,0.83,2.17,1.24,2.07
vs Sporting Gijón,30,27.1,53.7,29,319,2610,29.0,36,24,60,30,6,6,71,3,1.24,0.83,2.07,1.03,1.86
vs Valladolid,34,27.0,49.7,29,319,2610,29.0,39,26,65,33,6,8,84,2,1.34,0.9,2.24,1.14,2.03
vs Zaragoza,37,26.9,51.2,29,319,2610,29.0,38,31,69,36,2,5,81,3,1.31,1.07,2.38,1.24,2.31
