Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Aldosivi,23,26.9,47.6,7,77,630,7.0,8,5,13,7,1,1,12,0,1.14,0.71,1.86,1.0,1.71
vs Arg Juniors,24,28.6,37.3,6,66,540,6.0,3,2,5,3,0,0,16,1,0.5,0.33,0.83,0.5,0.83
vs Atlé Tucumán,22,28.3,50.1,8,88,720,8.0,13,8,21,11,2,2,23,0,1.62,1.0,2.62,1.37,2.37
vs Banfield,25,28.3,58.0,8,88,720,8.0,9,4,13,7,2,2,24,1,1.13,0.5,1.62,0.87,1.37
vs Barracas Central,24,27.7,59.9,8,88,720,8.0,7,5,12,7,0,0,21,0,0.87,0.62,1.5,0.87,1.5
vs Belgrano,23,27.7,49.1,8,88,720,8.0,7,2,9,4,3,3,12,1,0.87,0.25,1.13,0.5,0.75
vs Boca Juniors,24,27.9,38.9,8,88,720,8.0,5,5,10,5,0,0,23,0,0.62,0.62,1.25,0.62,1.25
vs Cen. Córdoba–SdE,24,27.5,55.1,8,88,720,8.0,6,5,11,5,1,1,14,0,0.75,0.62,1.37,0.62,1.25
vs Defensa y Justicia,23,28.1,50.8,8,88,720,8.0,5,2,7,5,0,0,24,1,0.62,0.25,0.87,0.62,0.87
vs Deportivo Riestra,22,28.3,61.1,8,88,720,8.0,5,3,8,3,2,2,22,1,0.62,0.37,1.0,0.37,0.75
vs Estudiantes–LP,25,28.0,47.0,8,88,720,8.0,3,3,6,3,0,1,21,1,0.37,0.37,0.75,0.37,0.75
vs Estudiantes–RC,27,28.0,56.3,8,88,720,8.0,11,6,17,9,2,3,19,1,1.37,0.75,2.12,1.13,1.87
vs Gimnasia–LP,24,27.8,56.9,8,88,720,8.0,10,6,16,9,1,1,20,1,1.25,0.75,2.0,1.13,1.87
vs Gimnasia–M,26,27.4,56.4,8,88,720,8.0,9,7,16,8,1,2,17,1,1.13,0.87,2.0,1.0,1.87
vs Huracán,23,28.3,44.4,8,88,720,8.0,7,6,13,6,1,2,33,1,0.87,0.75,1.62,0.75,1.5
vs Ind. Rivadavia,22,28.6,57.9,8,88,720,8.0,8,7,15,7,1,1,19,1,1.0,0.87,1.87,0.87,1.75
vs Independiente,23,27.4,45.8,9,99,810,9.0,11,9,20,10,1,1,13,0,1.22,1.0,2.22,1.11,2.11
vs Instituto,24,27.7,47.1,8,88,720,8.0,10,8,18,10,0,0,24,0,1.25,1.0,2.25,1.25,2.25
vs Lanús,25,27.4,49.9,7,77,630,7.0,12,8,20,10,2,2,14,2,1.71,1.14,2.86,1.43,2.57
vs Newell's Old Boys,27,27.5,57.0,9,99,810,9.0,17,12,29,16,1,1,21,0,1.89,1.33,3.22,1.78,3.11
vs Platense,24,28.3,48.8,9,99,810,9.0,3,2,5,3,0,0,22,0,0.33,0.22,0.56,0.33,0.56
vs Racing Club,25,27.6,41.8,9,99,810,9.0,9,6,15,9,0,0,18,0,1.0,0.67,1.67,1.0,1.67
vs River Plate,25,27.6,34.1,8,88,720,8.0,8,6,14,8,0,0,13,2,1.0,0.75,1.75,1.0,1.75
vs Rosario Central,21,28.0,46.6,8,88,720,8.0,5,4,9,5,0,0,24,0,0.62,0.5,1.13,0.62,1.13
vs San Lorenzo,24,27.8,49.9,8,88,720,8.0,5,5,10,5,0,0,19,0,0.62,0.62,1.25,0.62,1.25
vs Sarmiento–J,25,28.0,47.9,9,99,810,9.0,9,6,15,9,0,0,27,3,1.0,0.67,1.67,1.0,1.67
vs Talleres–C,23,27.5,44.0,8,88,720,8.0,8,4,12,7,1,1,18,1,1.0,0.5,1.5,0.87,1.37
vs Tigre,25,28.5,55.7,9,99,810,9.0,8,4,12,7,1,1,35,1,0.89,0.44,1.33,0.78,1.22
vs Unión,23,28.3,53.4,9,99,810,9.0,9,7,16,8,1,1,23,1,1.0,0.78,1.78,0.89,1.67
vs Vélez Sarsfield,24,28.1,46.7,9,99,810,9.0,4,4,8,4,0,0,23,0,0.44,0.44,0.89,0.44,0.89
